Extracted
Child: Nina; Parent: Nina (kuzynka) 
Child: Haj; Parent: Hak
Child: Dudi; Parent: Duży 
Child: Dyda; Parent: Dynia
Child: Duzi; Parent: Duży 
Child: Duzi; Parent: Duży 
Child: Blu; Parent: Blue niebieski 
Child: Pibu; Parent: Pikabu
Child: Pla Pla Pla ; Parent: Hlap Hlap hlap
Child: Pociąg ; Parent: Pociąg 
Child: Kop; Parent: Kot
Child: Pes; Parent: Pies
Child: Fafa; Parent: Żyrafa 
Child: Soń; Parent: Słoń 
Child: Miś ; Parent: Miś
Child: Myś; Parent: Mysz
Child: Bzi; Parent: Owad 
Child: Koko; Parent: Kura
Child: Bocian; Parent: Bocian 
Child: Dom; Parent: Dom
Child: Piciu; Parent: Picie
Child: Buty; Parent: Buty
Child: Łoweł; Parent: Rower
Child: Manian; Parent: Motor
Child: Sacja; Parent: Stacja
Child: Kask; Parent: Kask
Child: Bacia; Parent: Babcia
Child: Dziadzia; Parent: Dziadek 
Child: Ela; Parent: Hela
Child: Awa; Parent: Ewa
Child: Manin; Parent: Marcin
Child: Ania; Parent: Hania
Child: Emem; Parent: Emil
Child: Ciś; Parent: Krzyś 
Child: Filipip; Parent: Filip
Child: Buzia; Parent: Burza
Child: Desc; Parent: Deszcz
Child: Ziemba; Parent: Zęby
Child: Ciocia; Parent: Ciocia
Child: Cicia; Parent: Cycuś
Child: Nis; Parent: Nos
Child: Oto; Parent: Oko
Child: śtopa; Parent: Stopa
Child: Opsi; Parent: Spanie 
Child: Komp komp ; Parent: Kąpiel 
Child: Tola; Parent: Tola
Child: Tosia; Parent: Tosia
Child: Adam; Parent: Adam
Child: Gla; Parent: Gra
"Child: Tań; Parent: Taniec ,muzyka"
"Child: Tań; Parent: Taniec ,muzyka"
Child: Ziupa; Parent: Zupa
Child: Kawa; Parent: Kawa
Child: Ziaba; Parent: Żaba
Child: Amam; Parent: Jedzenie
Child: Sapam; Parent: Samolot
Child: Pan; Parent: Pan
Child: Dzidzia; Parent: Dziecko 
Child: Tinta; Parent: Zegar 
Child: Kupa; Parent: Kupa
Child: Basen; Parent: Basen
Child: Ziam; Parent: Zjeżdżalnia 
Child: Baban; Parent: Banan
Child: Kapci; Parent: Kapcie
Child: Pucio; Parent: Pucio
Child: Misi; Parent: Misia
Child: Bobo; Parent: Bobo
"Child: Kop kop; Parent: Koparka ,kopać "
"Child: Kop kop; Parent: Koparka ,kopać "
Child: Tultul; Parent: Przytulanie
Child: Maliny; Parent: Maliny
"Child: Op op ; Parent: Chodzenie po schodach ,skakanie "
"Child: Op op ; Parent: Chodzenie po schodach ,skakanie "
Child: Kopa; Parent: Piłka 
Child: Kapa; Parent: Kapelusz 
Child: Buła; Parent: Bułka 
Child: Cheb; Parent: Chleb
Child: Tutaj; Parent: Tutaj
Child: Tam; Parent: Tam
Child: Garaż; Parent: Garaż 
Child: Lala; Parent: Lalka
Child: Pepa; Parent: Peppa
Child: Jubi; Parent: Rubi
Child: Alo alo ; Parent: Rozmawiać przez telefon 
Child: Nie ma; Parent: Nie ma
Child: Pada; Parent: Pada
Child: Tuliś; Parent: Tuliś
Child: Pica; Parent: Pizza
Child: Panciam; Parent: Pająk
Child: Tup tup; Parent: Tuptać
"Child: Baba; Parent: Babka z piasku, piaskownica "
"Child: Baba; Parent: Babka z piasku, piaskownica "
"Child: Kita; Parent: Związane włosy, gumka do włosów "
"Child: Kita; Parent: Związane włosy, gumka do włosów "
Child: Tatuś ; Parent: Tatuś 
Child: Adzia; Parent: Jadzia Pętelka
Child: Lis; Parent: Lis
Child: Kaka; Parent: Kaczka
Child: Kla kla; Parent: Kra kra- ddźwięk wrony 
Child: Atataj; Parent: Koń 
Child: Katki; Parent: Kwiatki
Child: Lampa; Parent: Lampa
Child: Mama; Parent: Mama
Child: Tata; Parent: Tata
Child: Basia; Parent: Basia
Child: Sisi; Parent: Siku
"Child: Apsik; Parent: Apsik, kichanie"
Child: Sii; Parent: Gorące 
Child: Ceść; Parent: Cześć 
Child: Agaś; Parent: Ignaś
Child: Gęgę; Parent: Gęś
Child: Sss; Parent: Waż 
Child: Buzia; Parent: Buzia
Child: Jezik; Parent: Język 
Child: Motyn; Parent: Motyl 
"Child: Buba; Parent: Buba -  siniak, zranienie"
"Child: Buba; Parent: Buba -  siniak, zranienie"
"Child: Bam; Parent: Upadek, ale tez bębenek"
"Child: Bam; Parent: Upadek, ale tez bębenek"
Child: Balun; Parent: Balon
Child: Jaju; Parent: Jajecznica 
Child: Saś; Parent: Staś
Child: Mama; Parent: Mama
Child: Tata; Parent: Tata
Child: Mniam mniam ; Parent: Jedzenie 
Child: Cici; Parent: Kot
Child: Cici; Parent: Kici kici 
Child: Aaaaa; Parent: Pić/picie
Child: Nie; Parent: Nie
Child: Mniam mniam; Parent: Jeść 
Child: T; Parent: Kot
Child: Am; Parent: Jeść 
Child: Ha ha; Parent: Pies
Child: Ta; Parent: Tak
Child: Aaa; Parent: Małpka 
Child: Titit; Parent: Auto
Child: Koko; Parent: Kura
Child: A w a; Parent: Miau
Child: Mmmm; Parent: Muuu krowa 
Child: Ciiii; Parent: Hopsi/spać 
Child: Kaka; Parent: Kakao
Child: Koko; Parent: Kura
Child: Koko; Parent: Cocomelon
Child: Raa raa; Parent: Kra kra wrona
Child: Bee; Parent: Owca
Child: Łał; Parent: Wow
Child: Drrrr; Parent: Wiertarka
Child: śśś; Parent: Suszarka
Child: To to; Parent: Kto to
Child: Kukuly; Parent: Kukuryku/kogut 
Child: i aaaa; Parent: Koń 
Child: Ała; Parent: Boli 
Child: Baba; Parent: Babcia 
Child: Dada; Parent: Dziadek 
Child: Dub dub; Parent: Dziób dziób szczypanie
Child: Alo; Parent: Halo
Child: Ało; Parent: Auto
Child: Tu; Parent: Tu
Child: To; Parent: To
Child: Pa; Parent: Pa/pożegnanie
Child: Totja; Parent: Ciocia
Child: Buj; Parent: Buju
Child: Ajo; Parent: Jajo
Child: Buj; Parent: Buju
Child: Buuuuu; Parent: Straszenie
Child: Nie ma; Parent: Nie ma
Child: Tam; Parent: Tam
Child: Eniu; Parent: Heniu
Child: Ciciu; Parent: Kot
Child: Ciii; Parent: Spać
Child: Mamuniu; Parent: Mama
Child: Mamuś; Parent: Mama
Child: Tatuś; Parent: Tata
Child: Tati; Parent: Tata
Child: Pepiu; Parent: Pępek
Child: Ti; Parent: Ty/ja
Child: Ti; Parent: Ty/ja
Child: Io io; Parent: Straż/karetka
Child: Io io; Parent: Straż/karetka
Child: Moje; Parent: Moje
Child: Apcia; Parent: Babcia
Child: Cii; Parent: śpi
Child: Ciicho; Parent: Cicho
Child: Teś; Parent: Cześć
Child: Myjki myju; Parent: Myć
Child: Tokoto; Parent: Czekoladka/kinderek
Child: Jes; Parent: Jest
Child: Kuko; Parent: Kółko
Child: Ci cho; Parent: Cicho
Child: Pada; Parent: Padać o deszczu
Child: Pa(n)da; Parent: Panda pluszak
Child: Pipip; Parent: Trąbić o samochodzie
Child: Joja; Parent: Zosia
Child: Ala; Parent: Lala
Child: Bam; Parent: Przewrócić się
Child: Pi pi; Parent: Mysz
Child: Pam; Parent: Pan
Child: Tutu; Parent: Pociąg
Child: Gala; Parent: Galaretka 
Child: Kala; Parent: Kalosze
Child: Plum; Parent: Plusk
Child: Mam; Parent: Mam
Child: Apa/ apka; Parent: Żaba / Żabka 
Child: Kapka; Parent: Czapka 
Child: Siusiu; Parent: Siusiu
Child: Psipsi; Parent: Pszczółka 
Child: Huhu; Parent: Sowa
Child: Misiu; Parent: Miś 
Child: Baj; Parent: Pa
Child: Piś; Parent: Pić 
Child: Ciuciu; Parent: Ciuchcia 
Child: Kalosz; Parent: Kalosze
Child: Asia; Parent: Asia 
Child: Ciocia; Parent: Ciocia
Child: Maś; Parent: Masz
Child: Pka; Parent: Kupka
Child: Susia; Parent: Zosia
Child: Kolu; Parent: Kolorować 
Child: Balon; Parent: Balon 
Child: Kamil; Parent: Kamil
Child: Dzici; Parent: Dzieci
Child: Bin; Parent: Bing
Child: Busia; Parent: Burza
Child: Duzia; Parent: Duża 
Child: Pisie; Parent: Picie
Child: Palusie; Parent: Pampers
Child: Baja ; Parent: Bajka
Child: Bawo; Parent: Brawo 
Child: Tój; Parent: Strój kąpielowy 
Child: Dła; Parent: Dwa
Child: Tsi; Parent: Trzy
Child: Tyle; Parent: Tyle
Child: Oko; Parent: Oko
Child: Top; Parent: Stop
Child: Tół; Parent: Stół 
Child: Babcia; Parent: Babcia
Child: Maja; Parent: Maja
Child: Ala; Parent: Alicja
Child: Asen; Parent: Arsen
Child: Kola; Parent: Szkoła/przedszkole
Child: Kola; Parent: Szkoła/przedszkole
Child: Okej; Parent: Okej
Child: Kulki; Parent: Skórki 
Child: Tatol; Parent: Traktor
Child: Cycy; Parent: Piersi
Child: Deś; Parent: Gęś 
Child: Piupa; Parent: Pupa
Child: Golonsie; Parent: Gorące 
Child: Oko; Parent: Oko
Child: Icie; Parent: Idzie
Child: Ilk; Parent: Wilk
Child: Bosio; Parent: Boso
Child: Toi; Parent: Stoi
Child: Palosik; Parent: Parasol
Child: Tuliś; Parent: Króliś tuliś
Child: Ucha; Parent: Poducha
Child: Klama; Parent: Reklama
Child: Dom; Parent: Dom
Child: Jem; Parent: Jem
Child: Toba; Parent: Tobiasz
Child: Cycek; Parent: Pierś 
Child: Mufa; Parent: Mucha 
Child: Pać ; Parent: Patrz
Child: Sula; Parent: Sula
Child: Posię; Parent: Proszę 
Child: Sibko; Parent: Szybko
Child: Teraz; Parent: Teraz 
Child: Soko; Parent: Wysoko
Child: Laz; Parent: Raz
Child: Dzisiaj; Parent: Dzisiaj
Child: Pi; Parent: śpi 
Child: Banka; Parent: Blanka
Child: Toi; Parent: Stoi
Child: Tało; Parent: Stało się 
Child: Da; Parent: Daj
Child: Dada; Parent: Dziadzio
Child: Pa pa; Parent: Pożegnanie 
Child: Ta; Parent: Tak
Child: Tata; Parent: Tata
"Child: To; Parent: Zaimek wskazujący ""to"""
Child: Ba; Parent: Bam- rzucanie/ kopanie
Child: [H]opa; Parent: Hop! (Skakanie)
Child: Tu tu; Parent: Puk puk (pukanie do drzwi)
Child: Tutu; Parent: Husiu ( huśtać się)
Child: Tur tur; Parent: Traktor
Child: Br br (brum brum); Parent: Pojazd/ jedzie
Child: Br br (brum brum); Parent: Pojazd/ jedzie
Child: Hu hu; Parent: Sowa
Child: Siusiu [tutu]; Parent: Siusiak
Child: Tu; Parent: Tutaj
"Child: Aaa; Parent: Ziewanie, sen"
"Child: Aaa; Parent: Ziewanie, sen"
Child: Basia [tata]; Parent: Wiewiórka
Child: Hau hau ; Parent: Pies
Child: Fu fu fu [tu tu tu]; Parent: Pociąg
Child: Uuu; Parent: Samolot/latać
Child: Uuu; Parent: Samolot/latać
Child: Mimi; Parent: Mleko 
"Child: Nie; Parent: Nie, zaprzeczenie"
Child: Ach; Parent: Apsik / kichanie
Child: Mama; Parent: Mama
Child: Lala; Parent: Lalka
Child: O o; Parent: Coś się stało
Child: Łała; Parent: Lew
"Child: Bibi; Parent: Piersi, karmienie piersią"
"Child: Bibi; Parent: Piersi, karmienie piersią"
Child: Ne ne; Parent: Nie ma
Child: Pur pur; Parent: Gazy/ kupka
Child: Pur pur; Parent: Gazy/ kupka
"Child: Lo-lo (ioio); Parent: Pojazd na sygnale (karetka, wóz strażacki, radiowóz)"
"Child: Lo-lo (ioio); Parent: Pojazd na sygnale (karetka, wóz strażacki, radiowóz)"
"Child: Lo-lo (ioio); Parent: Pojazd na sygnale (karetka, wóz strażacki, radiowóz)"
Child: Baba; Parent: Babcia
Child: Am am; Parent: Jeść / jedzenie
Child: Am am; Parent: Jeść / jedzenie
Child: Pipi; Parent: Mysz
Child: Tutu; Parent: Słoń
Child: Au; Parent: Wilk
Child: [M]u; Parent: Krowa
Child: Alo; Parent: Halo/ dzwonić
Child: Mniam; Parent: Smaczne / jeść
Child: Mniam; Parent: Smaczne / jeść
Child: Mama; Parent: Maciek (własne imię)
Child: Ola; Parent: Imię mamy
Child: Fifi (Pipi); Parent: Imię taty
"Child: Dzidzi; Parent: Dziecko, niemowlę"
Child: Plum; Parent: Gra na instrumencie
Child: Kaka; Parent: Kakao
Child: Py py; Parent: Helikopter
Child: Pim; Parent: Przycisk / ddźwięk przyciskania klawiszy
Child: Be be; Parent: Owca
Child: Kak; Parent: Kask
Child: B[ww]; Parent: Brr (zimny)
Child: Pan; Parent: Pan
Child: Ka ka; Parent: Kra kra/ wrona
Child: Dom; Parent: Dom
Child: Klik; Parent: Ddźwięk zapinania napek
Child: Ko ko; Parent: Kura
"Child: Bobo; Parent: Dziecko, niemowlę"
Child: Miau; Parent: Kot
"Child: Ania; Parent: Ania, imię"
"Child: Ama; Parent: Adam, imię "
"Child: Op/ap; Parent: Na górze, wchodzić, wysoko"
Child: Pupa; Parent: Pupa
Child: Gol; Parent: Gol
Child: Goji ; Parent: Goły
Child: Jaja; Parent: Jajka
Child: Ami; Parent: Album
Child: Banbam; Parent: Banan
Child: Bzium; Parent: Blender/ blendować
Child: Guji; Parent: U góry/ na górze
Child: Kok; Parent: Kot
Child: Dzyń dzyń; Parent: Rower
Child: Blom; Parent: Balon
Child: Gagak/ galak; Parent: Galaretka
Child: Fa fa; Parent: Kaczka (kwa kwa)
Child: Oko; Parent: Oko
Child: Lolo; Parent: Rolo (imię lemura)
Child: Gu gu; Parent: Małpa
Child: Ka; Parent: Imię węża
Child: Bambi; Parent: Imię jelonka z bajki
Child: Fafa; Parent: Żyrafa
Child: Pipik; Parent: Komputer (laptop)
Child: Siś; Parent: Krzyś
Child: Siaś; Parent: Staś
Child: Antek; Parent: Antek
Child: Maji; Parent: Mały
Child: Tututu; Parent: Trąbka
Child: Deńdy; Parent: Tędy
Child: Dugu; Parent: Niedługo
Child: Baji; Parent: Bari
Child: Heś; Parent: Cześć
Child: Kompok; Parent: Kompot
Child: Ga; Parent: Gra
Child: Balely; Parent: Baterie
Child: Me; Parent: Koza
Child: Www; Parent: Prowadzić samochód 
Child: Ala; Parent: Imię babci
Child: Chum; Parent: świnka
Child: Baleli; Parent: Za blokami
Child: Ha; Parent: Koń
Child: Dudzi; Parent: Duży
Child: Bik; Parent: Bing (imię postaci z bajki)
Child: Pi; Parent: śpi
Child: Bada; Parent: Baza
Child: Zio; Parent: Zoo
Child: Kolali; Parent: Okulary
Child: Dwa; Parent: Dwa
Child: Kopaka; Parent: Koparka
Child: Ze ze; Parent: Zebra
Child: Ala ala; Parent: Papuga (ara)
Child: Uuuu; Parent: Biegać
Child: Dziadzio; Parent: Dziadzio
Child: Brum brum; Parent: Pojazd/ jedzie
Child: Brum brum; Parent: Pojazd/ jedzie
Child: Siusiu; Parent: Siusiak
Child: Balom; Parent: Balon
Child: Kok (miau); Parent: Kot
Child: Halo; Parent: Halo/ dzwonić
Child: Hutu; Parent: Husiu ( huśtać się)
Child: Tak; Parent: Tak
Child: Daj; Parent: Daj
Child: Apik; Parent: Apsik / kichanie
Child: Pik; Parent: Przycisk / ddźwięk przyciskania klawiszy
Child: Mus; Parent: Mus
Child: Amaji; Parent: I'm ready (tytuł piosenki)
Child: Paci; Parent: W pracy
Child: Ci; Parent: Trzy
Child: Dzip; Parent: Dżip
Child: Dzig; Parent: Ddźwig
Child: Pepek; Parent: Pępek
Child: Choji; Parent: Chory
Child: Boli; Parent: Boli
Child: Kawa; Parent: Kawa
Child: Ogujik; Parent: Jogurt
Child: Dym; Parent: Dym (para)
Child: Kojk; Parent: Korek uliczny
Child: Wzium; Parent: Zjeżdżać na zjeżdżalni
Child: Kum; Parent: Żaba
Child: Kab; Parent: Krab
Child: Majuś; Parent: Maciuś (własne imię)
Child: Kasia; Parent: Kasza
Child: Kujik; Parent: Kurier
Child: Kopak; Parent: Kocham
Child: Piti; Parent: Piti (imię kota)
Child: Ziabać; Parent: Plac zabaw
Child: Lampa; Parent: Lampa
Child: Aparat; Parent: Aparat
Child: Tir; Parent: Tir
"Child: Bus; Parent: Bus, autobus"
Child: Kubuś; Parent: Imię chłopca
Child: Paja; Parent: Paella
Child: Tajas; Parent: Taras
Child: Palec; Parent: Palec
Child: Chlop; Parent: Flop (postać z bajki)
Child: Topa; Parent: Stopa
Child: Kapeki; Parent: Skarpety
Child: Kola; Parent: Coca cola
Child: Koło; Parent: Koło
Child: Uuuuu; Parent: Biegać
Child: Top; Parent: Stop
Child: Dobi; Parent: Dobi (imię dziecka)
"Child: Lubiś; Parent: Lubisz, lubię"
Child: Zioba; Parent: Żłobek (żłobka)
Child: Mamusia; Parent: Mamusia
Child: Tatuf; Parent: Tatuś
Child: Sioko; Parent: Wysoko
Child: Taksi; Parent: Taksówka
Child: Chody; Parent: Schody
Child: Ciaji; Parent: Charlie (imię postaci z bajki)
Child: Ciejs; Parent: Chase (imię postaci z bajki)
Child: Kareta; Parent: Karetka pogotowia
Child: Kasia; Parent: Imię babci
Child: Koko; Parent: Koko (imię postaci z bajki)
Child: Lody; Parent: Lody
Child: Palesia; Parent: Policja
Child: Pando; Parent: Pando (imię postaci z bajki)
Child: śnieg; Parent: śnieg
Child: Sypu sypu; Parent: Pada śnieg
Child: Tomek; Parent: Imię dziadka
Child: Zióziu; Parent: Imię dziadka (Józiu)
"Child: Cofa; Parent: Cofać, jechać do tyłu"
Child: Talas; Parent: Taras
Child: Buty; Parent: Buty
Child: Mekaka; Parent: śmieciarka
Child: Jeśsie; Parent: Jeszcze
Child: Bus; Parent: Bus (samochód dostawczy)
Child: Abus; Parent: Autobus
Child: Obok; Parent: Obok
Child: Lis; Parent: Lis
Child: Buty; Parent: Buty
Child: Motot; Parent: Motor
Child: Keki; Parent: Kredki
Child: Leki; Parent: Leki (lekarstwa)
Child: Kapakap; Parent: Pada deszcz
Child: Kolada; Parent: Czekolada
Child: Kamarot; Parent: Makaron
Child: Bunyt; Parent: Budyń
Child: Mazia; Parent: Madzia (imię cioci)
Child: Laki; Parent: Szalik
Child: Ziemby; Parent: Zęby
Child: Gowa; Parent: Głowa
Child: Las; Parent: Jeszcze raz
Child: Cheb; Parent: Chleb
Child: Juji; Parent: Rury (słomki do picia)
Child: Kosia; Parent: [Kicia] Kocia (imię postaci z bajki)
Child: Baki; Parent: Bajki
Child: Paluś; Parent: Palec
Child: Paka; Parent: Plecak
Child: Kapeluś; Parent: Kapelusz
Child: Banana; Parent: Drabina
Child: Nos; Parent: Nos
Child: Buzia; Parent: Buzia (usta)
Child: Usi; Parent: Uszy
Child: Telesa; Parent: Teresa (imię dziecka)
Child: Buch; Parent: Brzuch
Child: Taś; Parent: Straż [pożarna]
Child: Zioda; Parent: Woda
Child: Kuś; Parent: Klucz
Child: Ziomby; Parent: Zęby
"Child: Pali; Parent: Pali [się], pożar"
Child: Kew; Parent: Krew
Child: Jedzieś; Parent: Jadę/jedziesz
Child: Siada; Parent: Wsiada
Child: Tojt; Parent: Tort
Child: Siupa; Parent: Zupa
Child: Maki; Parent: Ziemniaki
Child: Jedzie; Parent: Jedzie
Child: Sej; Parent: Ser
Child: Gojosie; Parent: Gorące
Child: Teji; Parent: Cztery
Child: Peś; Parent: Pięć
Child: Kojeś; Parent: Koniec
Child: Ziawo; Parent: Brawo
Child: Pak; Parent: Park
Child: Ziawo; Parent: Brawo
Child: Chopeś; Parent: Chłopiec
Child: Masio; Parent: Miasto
Child: Taś jezie pozialu; Parent: Straż jedzie do pożaru 
Child: Kesie; Parent: Kręci się
Child: Toi; Parent: Stoi
Child: Siezi; Parent: Siedzi
Child: Lamolot; Parent: Samolot
"Child: Aten; Parent: Do Aten, Ateny"
Child: Siosia ; Parent: Ciocia
Child: Gajasz; Parent: Garaż
Child: Koda; Parent: Kołdra
Child: Laweta; Parent: Laweta
Child: Londyn; Parent: Londyn
Child: Olaf; Parent: Olaf (imię dziecka)
Child: Gitala; Parent: Gitara
Child: Pak; Parent: Park
Child: Kuka; Parent: Kurtka
"Child: Kapeluś; Parent: Kapelusz, czapka"
Child: Sioda; Parent: Woda
Child: Ida; Parent: Ida (imię dziecka)
Child: Chopiec; Parent: Chłopiec
Child: Siesinka; Parent: Dziewczynka
Child: Pana; Parent: Piana
Child: Siam; Parent: Sam
Child: Bajaka; Parent: Biedronka
Child: Tak tak; Parent: Zegar
Child: Sioga; Parent: Noga
Child: Siowa; Parent: Sowa
Child: Pital; Parent: Szpital
Child: Jeka; Parent: Ręka
Child: Daleko; Parent: Daleko
Child: Pan tadak; Parent: Pan strażak
Child: Tapak; Parent: Czapka
Child: Kesisie; Parent: Kręci się
Child: Babisiak; Parent: Baby shark/ rekin
Child: Beniaka; Parent: Betoniarka
Child: Okomny; Parent: Ogromny
Child: Dotok; Parent: Doktor
Child: Ogót; Parent: Ogród
Child: Iziemy; Parent: Idziemy
Child: Kosi; Parent: Kosi (czas. Kosić)
Child: Siok; Parent: Sok
Child: Talezik; Parent: Talerzyk
Child: Piejuka; Parent: Pieluszka
Child: Moje; Parent: Mój (różne formy)
Child: Lony; Parent: Zielony
Child: Wstawamy; Parent: Wstajemy
Child: Pakaw; Parent: Płakać
Child: Obazek; Parent: Obrazek
"Child: Fu fu; Parent: Podmuchaj, dmuchać"
Child: Paselek; Parent: Plasterek
Child: Palasioł; Parent: Parasol
Child: Ogondać; Parent: Oglądać
Child: Sialajom; Parent: Szaleją
Child: Goloce; Parent: Gorące
Child: Dalej; Parent: Dalej
Child: Dziekuje; Parent: Dziękuję 
Child: Hateny; Parent: Ateny
Child: Kopeli; Parent: Kąpiel (do kąpieli)
Child: Tatatek; Parent: Kurczaczek
Child: Padek; Parent: Wypadek
Child: Juto; Parent: Jutro
Child: Komal; Parent: Komar
Child: Pojałem; Parent: Zapomniałem
Child: Ukywałem; Parent: Ukrywałem się
Child: Pieluka; Parent: Pieluszka
Child: Kufnia; Parent: Kuchnia
Child: Toba; Parent: Torba
Child: Sika; Parent: Szynka
Child: Kem; Parent: Krem
Child: Siukam; Parent: Szukam (i inne formy)
Child: Ja; Parent: Ja
Child: Ciap ciap; Parent: Zagniatać ciasto 
Child: Kopel; Parent: Kąpiel
Child: Paziuki; Parent: Pazurki (paznokcie)
Child: Opociwam; Parent: Odpoczywam (i inne formy)
Child: Lesiawem; Parent: Leciałem (i inne formy)
Child: Motosik; Parent: Motocykl
Child: Citamy; Parent: Czytamy
Child: Ocinek; Parent: Odcinek
Child: ślaga; Parent: Flaga
Child: Mufa; Parent: Mucha
Child: Ocinek; Parent: Odcinek
Child: Konka; Parent: Książka
Child: Bawiś; Parent: Bawić się (i inne formy)
Child: Pawem; Parent: Spadłem
Child: Kofam; Parent: Kocham (i inne formy)
Child: Gotowaś; Parent: Gotować (i inne formy)
Child: Pikik; Parent: Piknik
Child: Bum; Parent: Spadło
"Child: Bam; Parent: Spadło, wylało się "
Child: Mama; Parent: Mama
Child: Tata; Parent: Tata
"Child: Tam; Parent: Tam cos jest, tam ide"
Child: To; Parent: To chce 
"Child: Bruk brum; Parent: Auto, jechać auten"
"Child: Bruk brum; Parent: Auto, jechać auten"
Child: Nie ma; Parent: Nie ma
Child: Miau; Parent: Kotek
Child: Am; Parent: Jesc
Child: Mniam; Parent: Smaczne
Child: O oł; Parent: Coś się stało 
Child: Kuku; Parent: Akuku
Child: Koko; Parent: Kura
Child: Ta; Parent: Tak
Child: Co to ; Parent: Co to
Child: Mimi; Parent: Szymek
Child: Baba; Parent: Babcia
Child: Koło; Parent: Koło
Child: Pu pu ; Parent: Puk puk
Child: Mi; Parent: Miś
Child: Kupa; Parent: Kupa
Child: Siusiu; Parent: Siusiu
Child: Dam; Parent: Daj
Child: Dziura; Parent: Dziura
Child: Dziadzia; Parent: Dziadzio
Child: Nunu; Parent: Franek
Child: Ciocia; Parent: Ciocia
Child: Puk; Parent: Pukanie 
Child: Dzi ; Parent: Drzwi
Child: Szafa; Parent: Szafa
Child: Gowa; Parent: Głowa
Child: Kokoo; Parent: Oko
Child: Pupa; Parent: Pupa
