,form,meaning,KEY-MEANING
144,Opsi,Spanie ,SLEEP
145,Komp komp ,Kąpiel ,BATH
146,Tola,Tola,PERSON
147,Tosia,Tosia,PERSON
148,Adam,Adam,PERSON
149,Gla,Gra,GAME
150,Tań,"Taniec ,muzyka",DANCE
151,Tań,"Taniec ,muzyka",MUSIC
152,Ziupa,Zupa,SOUP
153,Kawa,Kawa,COFFEE
154,Ziaba,Żaba,FROG
155,Amam,Jedzenie,FOOD
156,Sapam,Samolot,PLANE
157,Pan,Pan,MAN
158,Dzidzia,Dziecko ,BABY
159,Tinta,Zegar ,CLOCK
160,Kupa,Kupa,POOP
161,Basen,Basen,SWIMMING-POOL
162,Ziam,Zjeżdżalnia ,SLIDE
163,Baban,Banan,BANANA
164,Kapci,Kapcie,SLIPPERS
165,Pucio,Pucio,CHARACTER
166,Misi,Misia,PERSON
167,Bobo,Bobo,BABY
168,Kop kop,"Koparka ,kopać ",DIG
169,Kop kop,"Koparka ,kopać ",EXCAVATOR
170,Tultul,Przytulanie,HUG
171,Maliny,Maliny,RASPBERRY
172,Op op ,"Chodzenie po schodach ,skakanie ",CLIMB-STAIRS
173,Op op ,"Chodzenie po schodach ,skakanie ",JUMP
174,Kopa,Piłka ,BALL
175,Kapa,Kapelusz ,HAT
176,Buła,Bułka ,BUN
177,Cheb,Chleb,BREAD
178,Tutaj,Tutaj,HERE
179,Tam,Tam,THERE
180,Garaż,Garaż ,GARAGE
181,Lala,Lalka,DOLL
182,Pepa,Peppa,CHARACTER
183,Jubi,Rubi,
184,Alo alo ,Rozmawiać przez telefon ,PHONECALL
185,Nie ma,Nie ma,GONE
186,Pada,Pada,RAIN
187,Tuliś,Tuliś,TOY
188,Pica,Pizza,PIZZA
189,Panciam,Pająk,SPIDER
190,Tup tup,Tuptać,STOMPING
191,Baba,"Babka z piasku, piaskownica ",SANDCASTLE
192,Baba,"Babka z piasku, piaskownica ",SANDPIT
193,Kita,"Związane włosy, gumka do włosów ",HAIRBAND
194,Kita,"Związane włosy, gumka do włosów ",PONYTAIL
195,Tatuś ,Tatuś ,DAD
196,Adzia,Jadzia Pętelka,CHARACTER
197,Lis,Lis,FOX
198,Kaka,Kaczka,DUCK
199,Kla kla,Kra kra- ddźwięk wrony ,CROW
200,Atataj,Koń ,HORSE
201,Katki,Kwiatki,FLOWER
202,Lampa,Lampa,LAMP
203,Mama,Mama,MOM
204,Tata,Tata,DAD
205,Basia,Basia,PERSON
206,Sisi,Siku,PEE
207,Apsik,"Apsik, kichanie",SNEEZE
208,Sii,Gorące ,HOT
209,Ceść,Cześć ,HI
210,Agaś,Ignaś,PERSON
211,Gęgę,Gęś,GOOSE
212,Sss,Waż ,SNAKE
213,Buzia,Buzia,FACE
214,Jezik,Język ,HEDGEHOG
215,Motyn,Motyl ,BUTTERFLY
216,Buba,"Buba -  siniak, zranienie",BRUISE
217,Buba,"Buba -  siniak, zranienie",INJURY
218,Bam,"Upadek, ale tez bębenek",DRUM
219,Bam,"Upadek, ale tez bębenek",BAM
220,Balun,Balon,BALLOON
221,Jaju,Jajecznica ,SCRAMBLED-EGGS
222,Saś,Staś,PERSON
223,Mama,Mama,MOM
224,Tata,Tata,DAD
225,Mniam mniam ,Jedzenie ,FOOD
226,Cici,Kot,CAT
227,Cici,Kici kici ,CAT
228,Aaaaa,Pić/picie,DRINK
229,Nie,Nie,NO
230,Mniam mniam,Jeść ,EAT
231,T,Kot,CAT
232,Am,Jeść ,EAT
233,Ha ha,Pies,DOG
234,Ta,Tak,YES
235,Aaa,Małpka ,MONKEY
236,Titit,Auto,CAR
237,Koko,Kura,HEN
238,A w a,Miau,CAT
239,Mmmm,Muuu krowa ,COW
240,Ciiii,Hopsi/spać ,HOP
241,Kaka,Kakao,COCOA
242,Koko,Kura,HEN
243,Koko,Cocomelon,RHYME
244,Raa raa,Kra kra wrona,CROW
245,Bee,Owca,SHEEP
246,Łał,Wow,WOW
247,Drrrr,Wiertarka,DRILL
248,śśś,Suszarka,DRYER
249,To to,Kto to,WHO-IS-THIS
250,Kukuly,Kukuryku/kogut ,COCK
251,i aaaa,Koń ,HORSE
252,Ała,Boli ,HURTS
253,Baba,Babcia ,GRANDMA
254,Dada,Dziadek ,GRANDPA
255,Dub dub,Dziób dziób szczypanie,BEAK
256,Alo,Halo,HELLO
257,Ało,Auto,CAR
258,Tu,Tu,HERE
259,To,To,THIS
260,Pa,Pa/pożegnanie,BYE
261,Totja,Ciocia,AUNT
262,Buj,Buju,SWING
263,Ajo,Jajo,EGG
264,Buj,Buju,SWING
265,Buuuuu,Straszenie,SCARE
266,Nie ma,Nie ma,GONE
267,Tam,Tam,THERE
268,Eniu,Heniu,PERSON
269,Ciciu,Kot,CAT
270,Ciii,Spać,SLEEP
271,Mamuniu,Mama,MOM
272,Mamuś,Mama,MOM
273,Tatuś,Tata,DAD
274,Tati,Tata,DAD
275,Pepiu,Pępek,NAVEL
276,Ti,Ty/ja,ME
277,Ti,Ty/ja,YOU
278,Io io,Straż/karetka,AMBULANCE
279,Io io,Straż/karetka,FIRE-BRIGADE
280,Moje,Moje,MY
281,Apcia,Babcia,GRANDMA
282,Cii,śpi,SLEEPING
283,Ciicho,Cicho,QUIET
284,Teś,Cześć,HI
285,Myjki myju,Myć,WASHING
286,Tokoto,Czekoladka/kinderek,CHOCOLATE
287,Jes,Jest,TO-BE
288,Kuko,Kółko,CIRCLE
289,Ci cho,Cicho,QUIET
290,Pada,Padać o deszczu,RAIN
291,Pa(n)da,Panda pluszak,PANDA
292,Pipip,Trąbić o samochodzie,HONK
293,Joja,Zosia,PERSON
294,Ala,Lala,DOLL
295,Bam,Przewrócić się,BAM
296,Pi pi,Mysz,MOUSE
297,Pam,Pan,MAN
298,Tutu,Pociąg,TRAIN
299,Gala,Galaretka ,JELLY
300,Kala,Kalosze,WELLINGTONS
301,Plum,Plusk,SPLASH
302,Mam,Mam,HAVE
303,Apa/ apka,Żaba / Żabka ,FROG
304,Kapka,Czapka ,CAP
305,Siusiu,Siusiu,PEE
306,Psipsi,Pszczółka ,BEE
307,Huhu,Sowa,OWL
308,Misiu,Miś ,TEDDY-BEAR
309,Baj,Pa,BYE
310,Piś,Pić ,DRINK
311,Ciuciu,Ciuchcia ,CHOO-CHOO
312,Kalosz,Kalosze,WELLINGTONS
313,Asia,Asia ,PERSON
314,Ciocia,Ciocia,AUNT
315,Maś,Masz,HAVE
316,Pka,Kupka,POOP
317,Susia,Zosia,PERSON
318,Kolu,Kolorować ,COLOURING
319,Balon,Balon ,BALLOON
320,Kamil,Kamil,PERSON
321,Dzici,Dzieci,CHILDREN
322,Bin,Bing,CHARACTER
323,Busia,Burza,STORM
324,Duzia,Duża ,BIG
325,Pisie,Picie,DRINK
326,Palusie,Pampers,DIAPER
327,Baja ,Bajka,TALE
328,Bawo,Brawo ,BRAVO
329,Tój,Strój kąpielowy ,SWIMSUIT
330,Dła,Dwa,TWO
331,Tsi,Trzy,THREE
332,Tyle,Tyle,THIS-MUCH
333,Oko,Oko,EYE
334,Top,Stop,STOP
335,Tół,Stół ,TABLE
336,Babcia,Babcia,GRANDMA
337,Maja,Maja,PERSON
338,Ala,Alicja,PERSON
339,Asen,Arsen,ARSENIC
340,Kola,Szkoła/przedszkole,KINDERGARTEN
341,Kola,Szkoła/przedszkole,SCHOOL
342,Okej,Okej,OK
343,Kulki,Skórki ,PEEL
344,Tatol,Traktor,TRACTOR
345,Cycy,Piersi,BREAST
346,Deś,Gęś ,GOOSE
347,Piupa,Pupa,BOTTOM
348,Golonsie,Gorące ,HOT
349,Oko,Oko,EYE
350,Icie,Idzie,GO
351,Ilk,Wilk,WOLF
352,Bosio,Boso,BAREFOOT
353,Toi,Stoi,STAND
354,Palosik,Parasol,UMBRELLA
355,Tuliś,Króliś tuliś,CHARACTER
356,Ucha,Poducha,PILLOW
357,Klama,Reklama,ADVERTISEMENT
358,Dom,Dom,HOME
359,Jem,Jem,EAT
360,Toba,Tobiasz,PERSON
361,Cycek,Pierś ,BREAST
362,Mufa,Mucha ,FLY
363,Pać ,Patrz,LOOK
364,Sula,Sula,
365,Posię,Proszę ,PLEASE
366,Sibko,Szybko,FAST
367,Teraz,Teraz ,NOW
368,Soko,Wysoko,HIGH
369,Laz,Raz,ONE
370,Dzisiaj,Dzisiaj,TODAY
371,Pi,śpi ,SLEEPING
372,Banka,Blanka,PERSON
373,Toi,Stoi,STAND
374,Tało,Stało się ,HAPPEN
375,Da,Daj,GIVE
376,Dada,Dziadzio,GRANDPA
377,Pa pa,Pożegnanie ,BYE
378,Ta,Tak,YES
379,Tata,Tata,DAD
380,To,"Zaimek wskazujący ""to""",THIS
381,Ba,Bam- rzucanie/ kopanie,BAM
382,[H]opa,Hop! (Skakanie),HOP
383,Tu tu,Puk puk (pukanie do drzwi),KNOCK-KNOCK
384,Tutu,Husiu ( huśtać się),SWING
385,Tur tur,Traktor,TRACTOR
386,Br br (brum brum),Pojazd/ jedzie,DRIVE
387,Br br (brum brum),Pojazd/ jedzie,VEHICLE
388,Hu hu,Sowa,OWL
389,Siusiu [tutu],Siusiak,PENIS
390,Tu,Tutaj,HERE
391,Aaa,"Ziewanie, sen",SLEEP
392,Aaa,"Ziewanie, sen",YAWNING
393,Basia [tata],Wiewiórka,SQUIRREL
394,Hau hau ,Pies,DOG
395,Fu fu fu [tu tu tu],Pociąg,TRAIN
396,Uuu,Samolot/latać,FLYING
397,Uuu,Samolot/latać,PLANE
398,Mimi,Mleko ,MILK
399,Nie,"Nie, zaprzeczenie",NO
400,Ach,Apsik / kichanie,SNEEZE
401,Mama,Mama,MOM
402,Lala,Lalka,DOLL
403,O o,Coś się stało,EXCLAMATION
404,Łała,Lew,LION
405,Bibi,"Piersi, karmienie piersią",BREAST
406,Bibi,"Piersi, karmienie piersią",BREASTFEEDING
407,Ne ne,Nie ma,GONE
408,Pur pur,Gazy/ kupka,FART
409,Pur pur,Gazy/ kupka,POOP
410,Lo-lo (ioio),"Pojazd na sygnale (karetka, wóz strażacki, radiowóz)",AMBULANCE
411,Lo-lo (ioio),"Pojazd na sygnale (karetka, wóz strażacki, radiowóz)",FIRE-BRIGADE
412,Lo-lo (ioio),"Pojazd na sygnale (karetka, wóz strażacki, radiowóz)",POLICE
413,Baba,Babcia,GRANDMA
414,Am am,Jeść / jedzenie,EAT
415,Am am,Jeść / jedzenie,FOOD
416,Pipi,Mysz,MOUSE
417,Tutu,Słoń,ELEPHANT
418,Au,Wilk,WOLF
419,[M]u,Krowa,COW
420,Alo,Halo/ dzwonić,HELLO
421,Mniam,Smaczne / jeść,DELICIOUS
422,Mniam,Smaczne / jeść,EAT
423,Mama,Maciek (własne imię),SELF
424,Ola,Imię mamy,MOM
425,Fifi (Pipi),Imię taty,DAD
426,Dzidzi,"Dziecko, niemowlę",BABY
427,Plum,Gra na instrumencie,PLAYING-MUSIC
428,Kaka,Kakao,COCOA
429,Py py,Helikopter,HELICOPTER
430,Pim,Przycisk / ddźwięk przyciskania klawiszy,BUTTON
431,Be be,Owca,SHEEP
432,Kak,Kask,HELMET
433,B[ww],Brr (zimny),COLD
434,Pan,Pan,MAN
435,Ka ka,Kra kra/ wrona,CROW
436,Dom,Dom,HOME
437,Klik,Ddźwięk zapinania napek,CLICK
438,Ko ko,Kura,HEN
439,Bobo,"Dziecko, niemowlę",BABY
440,Miau,Kot,CAT
441,Ania,"Ania, imię",PERSON
442,Ama,"Adam, imię ",PERSON
443,Op/ap,"Na górze, wchodzić, wysoko",UP
444,Pupa,Pupa,BOTTOM
445,Gol,Gol,GOAL
446,Goji ,Goły,NAKED
447,Jaja,Jajka,EGG
448,Ami,Album,ALBUM
449,Banbam,Banan,BANANA
450,Bzium,Blender/ blendować,BLENDER
451,Guji,U góry/ na górze,UP
452,Kok,Kot,CAT
453,Dzyń dzyń,Rower,BIKE
454,Blom,Balon,BALLOON
455,Gagak/ galak,Galaretka,JELLY
456,Fa fa,Kaczka (kwa kwa),DUCK
457,Oko,Oko,EYE
458,Lolo,Rolo (imię lemura),CHARACTER
459,Gu gu,Małpa,MONKEY
460,Ka,Imię węża,PET
461,Bambi,Imię jelonka z bajki,CHARACTER
462,Fafa,Żyrafa,GIRAFFE
463,Pipik,Komputer (laptop),COMPUTER
464,Siś,Krzyś,PERSON
465,Siaś,Staś,PERSON
466,Antek,Antek,NAME-NA
467,Maji,Mały,SMALL
468,Tututu,Trąbka,TRUMPET
469,Deńdy,Tędy,THIS-WAY
470,Dugu,Niedługo,SOON
471,Baji,Bari,
472,Heś,Cześć,HI
473,Kompok,Kompot,COMPOTE
474,Ga,Gra,GAME
475,Balely,Baterie,BATTERY
476,Me,Koza,GOAT
477,Www,Prowadzić samochód ,DRIVE
478,Ala,Imię babci,GRANDMA
479,Chum,świnka,PIG
480,Baleli,Za blokami,BLOCK-OF-FLATS
481,Ha,Koń,HORSE
482,Dudzi,Duży,BIG
483,Bik,Bing (imię postaci z bajki),CHARACTER
484,Pi,śpi,SLEEPING
485,Bada,Baza,BASE
486,Zio,Zoo,ZOO
487,Kolali,Okulary,GLASSES
488,Dwa,Dwa,TWO
489,Kopaka,Koparka,EXCAVATOR
490,Ze ze,Zebra,ZEBRA
491,Ala ala,Papuga (ara),PARROT
492,Uuuu,Biegać,RUNNING
493,Dziadzio,Dziadzio,GRANDPA
494,Brum brum,Pojazd/ jedzie,DRIVE
495,Brum brum,Pojazd/ jedzie,VEHICLE
496,Siusiu,Siusiak,PENIS
497,Balom,Balon,BALLOON
498,Kok (miau),Kot,CAT
499,Halo,Halo/ dzwonić,HELLO
500,Hutu,Husiu ( huśtać się),SWING
501,Tak,Tak,YES
502,Daj,Daj,GIVE
503,Apik,Apsik / kichanie,SNEEZE
504,Pik,Przycisk / ddźwięk przyciskania klawiszy,BUTTON
505,Mus,Mus,MOUSSE
506,Amaji,I'm ready (tytuł piosenki),RHYME
507,Paci,W pracy,WORK
508,Ci,Trzy,THREE
509,Dzip,Dżip,CAR
510,Dzig,Ddźwig,CRANE
511,Pepek,Pępek,NAVEL
512,Choji,Chory,SICK
513,Boli,Boli,HURTS
514,Kawa,Kawa,COFFEE
515,Ogujik,Jogurt,YOGHURT
516,Dym,Dym (para),SMOKE
517,Kojk,Korek uliczny,TRAFFIC-JAM
518,Wzium,Zjeżdżać na zjeżdżalni,SLIDE
519,Kum,Żaba,FROG
520,Kab,Krab,CRAB
521,Majuś,Maciuś (własne imię),SELF
522,Kasia,Kasza,GROATS
523,Kujik,Kurier,COURIER
524,Kopak,Kocham,LOVE
525,Piti,Piti (imię kota),PET
526,Ziabać,Plac zabaw,PLAYGROUND
527,Lampa,Lampa,LAMP
528,Aparat,Aparat,CAMERA
529,Tir,Tir,TRUCK
530,Bus,"Bus, autobus",BUS
531,Kubuś,Imię chłopca,PERSON
532,Paja,Paella,PAELLA
533,Tajas,Taras,TERRACE
534,Palec,Palec,FINGER
535,Chlop,Flop (postać z bajki),CHARACTER
536,Topa,Stopa,FEET
537,Kapeki,Skarpety,SOCK
538,Kola,Coca cola,COCA-COLA
539,Koło,Koło,CIRCLE
540,Uuuuu,Biegać,RUNNING
541,Top,Stop,STOP
542,Dobi,Dobi (imię dziecka),SELF
543,Lubiś,"Lubisz, lubię",LIKE
544,Zioba,Żłobek (żłobka),NURSERY
545,Mamusia,Mamusia,MOM
546,Tatuf,Tatuś,DAD
547,Sioko,Wysoko,HIGH
548,Taksi,Taksówka,TAXI
549,Chody,Schody,STAIRS
550,Ciaji,Charlie (imię postaci z bajki),CHARACTER
551,Ciejs,Chase (imię postaci z bajki),CHARACTER
552,Kareta,Karetka pogotowia,AMBULANCE
553,Kasia,Imię babci,GRANDMA
554,Koko,Koko (imię postaci z bajki),CHARACTER
555,Lody,Lody,ICE-CREAM
556,Palesia,Policja,POLICE
557,Pando,Pando (imię postaci z bajki),CHARACTER
558,śnieg,śnieg,SNOW
559,Sypu sypu,Pada śnieg,RAIN
560,Tomek,Imię dziadka,GRANDPA
561,Zióziu,Imię dziadka (Józiu),GRANDPA
562,Cofa,"Cofać, jechać do tyłu",BACKING
563,Talas,Taras,TERRACE
564,Buty,Buty,SHOES
565,Mekaka,śmieciarka,GARBAGE-TRUCK
566,Jeśsie,Jeszcze,MORE
567,Bus,Bus (samochód dostawczy),VAN
568,Abus,Autobus,BUS
569,Obok,Obok,NEAR
570,Lis,Lis,FOX
571,Buty,Buty,SHOES
572,Motot,Motor,MOTORCYCLE
573,Keki,Kredki,CRAYONS
574,Leki,Leki (lekarstwa),MEDICINE
575,Kapakap,Pada deszcz,RAIN
576,Kolada,Czekolada,CHOCOLATE
577,Kamarot,Makaron,PASTA
578,Bunyt,Budyń,PUDDING
579,Mazia,Madzia (imię cioci),AUNT
580,Laki,Szalik,SCARF
581,Ziemby,Zęby,TEETH
582,Gowa,Głowa,HEAD
583,Las,Jeszcze raz,MORE
584,Cheb,Chleb,BREAD
585,Juji,Rury (słomki do picia),STRAW
586,Kosia,[Kicia] Kocia (imię postaci z bajki),CHARACTER
587,Baki,Bajki,TALE
588,Paluś,Palec,FINGER
589,Paka,Plecak,BAGPACK
590,Kapeluś,Kapelusz,HAT
591,Banana,Drabina,LADDER
592,Nos,Nos,NOSE
593,Buzia,Buzia (usta),MOUTH
594,Usi,Uszy,EARS
595,Telesa,Teresa (imię dziecka),PERSON
596,Buch,Brzuch,BELLY
597,Taś,Straż [pożarna],FIRE-BRIGADE
598,Zioda,Woda,WATER
599,Kuś,Klucz,KEY
600,Ziomby,Zęby,TEETH
601,Pali,"Pali [się], pożar",FIRE
602,Kew,Krew,BLOOD
603,Jedzieś,Jadę/jedziesz,GO
604,Siada,Wsiada,GET-IN
605,Tojt,Tort,CAKE
606,Siupa,Zupa,SOUP
607,Maki,Ziemniaki,POTATO
608,Jedzie,Jedzie,DRIVE
609,Sej,Ser,CHEESE
610,Gojosie,Gorące,HOT
611,Teji,Cztery,FOUR
612,Peś,Pięć,FIVE
613,Kojeś,Koniec,END 
614,Ziawo,Brawo,BRAVO
615,Pak,Park,PARK
616,Ziawo,Brawo,BRAVO
617,Chopeś,Chłopiec,BOY
618,Masio,Miasto,TOWN
619,Taś jezie pozialu,Straż jedzie do pożaru ,FIRE-BRIGADE
620,Kesie,Kręci się,SPIN
621,Toi,Stoi,STAND
622,Siezi,Siedzi,SIT
623,Lamolot,Samolot,PLANE
624,Aten,"Do Aten, Ateny",ATHENS
625,Siosia ,Ciocia,AUNT
626,Gajasz,Garaż,GARAGE
627,Koda,Kołdra,DUVET
628,Laweta,Laweta,CAR-CARRIER
629,Londyn,Londyn,LONDON
630,Olaf,Olaf (imię dziecka),SELF
631,Gitala,Gitara,GUITAR
632,Pak,Park,PARK
633,Kuka,Kurtka,JACKET
634,Kapeluś,"Kapelusz, czapka",HAT
635,Sioda,Woda,WATER
636,Ida,Ida (imię dziecka),SELF
637,Chopiec,Chłopiec,BOY
638,Siesinka,Dziewczynka,GIRL
639,Pana,Piana,FOAM
640,Siam,Sam,BY-MYSELF
641,Bajaka,Biedronka,LADYBIRD
642,Tak tak,Zegar,CLOCK
643,Sioga,Noga,LEG
644,Siowa,Sowa,OWL
645,Pital,Szpital,HOSPITAL
646,Jeka,Ręka,HAND
647,Daleko,Daleko,FAR
648,Pan tadak,Pan strażak,FIRE-FIGHTER
649,Tapak,Czapka,CAP
650,Kesisie,Kręci się,SPIN
651,Babisiak,Baby shark/ rekin,RHYME
652,Beniaka,Betoniarka,CEMENT-MIXER
653,Okomny,Ogromny,HUGE
654,Dotok,Doktor,DOCTOR
655,Ogót,Ogród,GARDEN
656,Iziemy,Idziemy,GO
657,Kosi,Kosi (czas. Kosić),MOW
658,Siok,Sok,JUICE
659,Talezik,Talerzyk,PLATE
660,Piejuka,Pieluszka,DIAPER
661,Moje,Mój (różne formy),MY
662,Lony,Zielony,GREEN
663,Wstawamy,Wstajemy,GET-UP
664,Pakaw,Płakać,CRY
665,Obazek,Obrazek,PICTURE
666,Fu fu,"Podmuchaj, dmuchać",BLOWING
667,Paselek,Plasterek,BAND-AID
668,Palasioł,Parasol,UMBRELLA
669,Ogondać,Oglądać,WATCH
670,Sialajom,Szaleją,CRAZY
671,Goloce,Gorące,HOT
672,Dalej,Dalej,FURTHER
673,Dziekuje,Dziękuję ,THANK-YOU
674,Hateny,Ateny,ATHENS
675,Kopeli,Kąpiel (do kąpieli),BATH
676,Tatatek,Kurczaczek,CHICKEN
677,Padek,Wypadek,ACCIDENT
678,Juto,Jutro,TOMORROW
679,Komal,Komar,MOSQUITO
680,Pojałem,Zapomniałem,FORGET
681,Ukywałem,Ukrywałem się,HIDE
682,Pieluka,Pieluszka,DIAPER
683,Kufnia,Kuchnia,KITCHEN
684,Toba,Torba,BAG
685,Sika,Szynka,HAM
686,Kem,Krem,CREAM
687,Siukam,Szukam (i inne formy),SEARCHING
688,Ja,Ja,SELF
689,Ciap ciap,Zagniatać ciasto ,KNEAD
690,Kopel,Kąpiel,BATH
691,Paziuki,Pazurki (paznokcie),NAILS
692,Opociwam,Odpoczywam (i inne formy),RELAX
693,Lesiawem,Leciałem (i inne formy),FLYING
694,Motosik,Motocykl,MOTORCYCLE
695,Citamy,Czytamy,READ
696,Ocinek,Odcinek,EPISODE
697,ślaga,Flaga,FLAG
698,Mufa,Mucha,FLY
699,Ocinek,Odcinek,EPISODE
700,Konka,Książka,BOOK
701,Bawiś,Bawić się (i inne formy),PLAY
702,Pawem,Spadłem,FALLING
703,Kofam,Kocham (i inne formy),LOVE
704,Gotowaś,Gotować (i inne formy),COOK
705,Pikik,Piknik,PICNIC
706,Bum,Spadło,BAM
707,Bam,"Spadło, wylało się ",BAM
708,Mama,Mama,MOM
709,Tata,Tata,DAD
710,Tam,"Tam cos jest, tam ide",THERE
711,To,To chce ,THIS
712,Bruk brum,"Auto, jechać auten",CAR
713,Bruk brum,"Auto, jechać auten",DRIVE
714,Nie ma,Nie ma,GONE
715,Miau,Kotek,CAT
716,Am,Jesc,EAT
717,Mniam,Smaczne,DELICIOUS
718,O oł,Coś się stało ,EXCLAMATION
719,Kuku,Akuku,PEEKABOO
720,Koko,Kura,HEN
721,Ta,Tak,YES
722,Co to ,Co to,WHAT-IS-THIS
723,Mimi,Szymek,PERSON
724,Baba,Babcia,GRANDMA
725,Koło,Koło,CIRCLE
726,Pu pu ,Puk puk,KNOCK-KNOCK
